M,N,Initial,Final,Diff,RI
7,5,0.36182588029373663,0.34944130894780395,0.012384571345932682,3.4227986499690592
7,5,0.318806452666874,0.2933090716934249,0.025497380973449113,7.997761889748115
7,5,0.37567209993040346,0.34185970525859377,0.03381239467180969,9.000507271653584
7,5,0.38410809291608206,0.3429918591327286,0.04111623378335344,10.704339362184776
7,5,0.43891920368801374,0.41520908078422153,0.023710122903792208,5.401933363718917
7,5,0.3598178856146018,0.27131242810436096,0.08850545751024086,24.597292421710904
7,5,0.4165586885250642,0.30092100522601084,0.11563768329905338,27.760237989153236
7,5,0.3024979782585467,0.26939525905223743,0.03310271920630925,10.9431208092294
7,5,0.4153187060821932,0.38278764395942433,0.03253106212276885,7.832794826325696
7,5,0.30292098770917036,0.2838881059233827,0.01903288178578766,6.2831175646571005
7,5,0.4979118975789706,0.4486590473175603,0.0492528502614103,9.891880571823174
7,5,0.2869131947808388,0.26941342039844446,0.017499774382394362,6.099327148673563
7,5,0.36940501863379804,0.2874101300089784,0.08199488862481963,22.19647392124457
7,5,0.3639908248754953,0.3305238861698976,0.03346693870559769,9.194445688856364
7,5,0.46053776944893227,0.39853647878268983,0.06200129066624244,13.462802571096741
7,5,0.6624174782429568,0.6031515688819056,0.05926590936105125,8.94691207699597
7,5,0.4681439786697486,0.42925333386939524,0.03889064480035337,8.307411089823866
7,5,0.345850301485622,0.3007645300253021,0.04508577146031989,13.036209963285007
7,5,0.49435576729461517,0.44149721200591935,0.05285855528869582,10.692411980539179
7,5,0.5247976345921238,0.47438035902426656,0.050417275567857245,9.606993676151358
7,5,0.361073945485745,0.3157834112877776,0.045290534197967414,12.54328504291248
7,5,0.43588558742541567,0.39076687447367564,0.045118712951740025,10.351044919433196
7,5,0.390222222965163,0.3661096691567458,0.024112553808417203,6.179185189709159
7,5,0.4248690063177776,0.3965619486258342,0.02830705769194336,6.66253769303457
7,5,0.4744914937777561,0.40668236176294126,0.06780913201481487,14.290905717811567
7,5,0.3350653610686619,0.30704800460716414,0.028017356461497778,8.361758545299596
7,5,0.2819925968906541,0.22166349436426347,0.06032910252639062,21.393860403287086
7,5,0.35811536691041246,0.3141459384630548,0.043969428447357684,12.278006617447737
7,5,0.5333313967731379,0.4822095887091018,0.0511218080640361,9.58537381698188
7,5,0.5502386379959016,0.4980576877550872,0.05218095024081437,9.483330801862563
7,5,0.4049548472866783,0.36341806897974793,0.041536778306930366,10.257138193366377
7,5,0.43758402336201346,0.4032515621653877,0.03433246119662575,7.845912867852237
7,5,0.3578276199537076,0.3167583933326834,0.04106922662102419,11.477377466372591
7,5,0.4478509702321294,0.4102664227795812,0.03758454745254819,8.392199626823947
7,5,0.4273164742112709,0.34465362228384167,0.08266285192742923,19.344644289693267
7,5,0.2976003999384806,0.23535851577628533,0.062241884162195255,20.91458350696497
7,5,0.5335491202663069,0.4422759700317463,0.09127315023456056,17.1067942514841
7,5,0.3439411719382669,0.32753912665843943,0.01640204527982747,4.768851948545268
7,5,0.41976622151846665,0.3813474105849317,0.03841881093353494,9.152430320514675
